(1, datetime.datetime(2000, 3, 10, 0, 0), '12345678912', 'italo@ceuma.com', 'Italo Gabriel', '98991521650', 'italo123', 'Admin', '044704')
(34, datetime.datetime(1997, 7, 14, 0, 0), '34567890165', 'patricia@ceuma.com', 'Patricia Moura', '98993339999', 'patricia123', 'User', '044737')
(35, datetime.datetime(1995, 2, 23, 0, 0), '45678901276', 'ricardo@ceuma.com', 'Ricardo Nunes', '98992228888', 'ricardo123', 'User', '044738')
(36, datetime.datetime(1986, 6, 6, 0, 0), '56789012387', 'vanessa@ceuma.com', 'Vanessa Braga', '98991117777', 'vanessa123', 'User', '044739')
(37, datetime.datetime(1988, 11, 22, 0, 0), '67890123498', 'marco@ceuma.com', 'Marco Aurélio', '98990002211', 'marco123', 'User', '044740')
(38, datetime.datetime(2003, 12, 9, 0, 0), '78901234509', 'leticia@ceuma.com', 'Letícia Pires', '98994441122', 'leticia123', 'User', '044741')
(39, datetime.datetime(1991, 3, 14, 0, 0), '89012345620', 'henrique@ceuma.com', 'Henrique Oliveira', '98993331133', 'henrique123', 'User', '044742')
(40, datetime.datetime(2004, 5, 28, 0, 0), '90123456731', 'sabrina@ceuma.com', 'Sabrina Lima', '98992229944', 'sabrina123', 'User', '044743')
(41, datetime.datetime(1989, 8, 11, 0, 0), '01234567843', 'tiago@ceuma.com', 'Tiago Fonseca', '98991118855', 'tiago123', 'User', '044744')
(42, datetime.datetime(1996, 10, 19, 0, 0), '12345678954', 'elisabete@ceuma.com', 'Elisabete Ramos', '98990001122', 'elisabete123', 'User', '044745')
(43, datetime.datetime(1985, 12, 31, 0, 0), '23456789065', 'renan@ceuma.com', 'Renan Neves', '98994442233', 'renan123', 'User', '044746')
(44, datetime.datetime(1994, 4, 3, 0, 0), '34567890176', 'cibele@ceuma.com', 'Cibele Costa', '98993332244', 'cibele123', 'User', '044747')
(45, datetime.datetime(1987, 1, 22, 0, 0), '45678901287', 'roberta@ceuma.com', 'Roberta Melo', '98992221155', 'roberta123', 'User', '044748')
(46, datetime.datetime(1998, 9, 13, 0, 0), '56789012398', 'alex@ceuma.com', 'Alexandre Batista', '98991119966', 'alex123', 'User', '044749')
(47, datetime.datetime(1992, 11, 30, 0, 0), '67890123409', 'karen@ceuma.com', 'Karen Borges', '98990000077', 'karen123', 'User', '044750')
(48, datetime.datetime(2001, 1, 17, 0, 0), '78901234510', 'davi@ceuma.com', 'Davi Cardoso', '98994443311', 'davi123', 'User', '044751')
(49, datetime.datetime(1993, 5, 5, 0, 0), '89012345621', 'monica@ceuma.com', 'Mônica Barreto', '98993331100', 'monica123', 'User', '044752')
(50, datetime.datetime(2000, 7, 20, 0, 0), '90123456732', 'igor@ceuma.com', 'Igor Pinheiro', '98992229999', 'igor123', 'User', '044753')
